stop_id,stop_name,stop_lat,stop_lon,M1,M10,M100,M101,M102,M103,M104,M106,M11,M116,M12,M15,M2,M20,M21,M22,M3,M31,M35,M4,M42,M5,M50,M55,M57,M66,M7,M72,M8,M86,M9,M96,M98
400065,MALCOLM X BL/W 145 ST,40.82068,-73.935873,5478861077,8008242717,,,5478861077,,,,,,,,,,,,,,,,,,,,,,5478861077,,,,,,
400066,W 147 ST/MALCOLM X BL,40.821952,-73.935729,8668338838,8008242734,,,8668338838,,,,,,,,,,,,,,,,,,,,,,42432665,,,,,,
400067,W 147 ST/ADAM C POWELL BL,40.822853,-73.937867,8758299309,8008242734,,,8758299309,,,,,,,,,,,,,,,,,,,,,,42432665,,,,,,
400069,GREENWICH ST/MORRIS ST,40.706025,-74.014308,,,,,,,,,,,,,,,,,,,,,,42451674,,4145586915,,,,,,,,,
400070,TRINITY PL/RECTOR ST,40.708007,-74.012714,,,,,,,,,,,,,,,,,,,,,,42451674,,4206997181,,,,,,,,,
400071,CHURCH ST/LIBERTY ST,40.710016,-74.011358,,,,,,,,,,,,,,,,,,,,,,42451674,,8262936497,,,,,,,,,
400081,CLEVELAND  PL/SPRING ST,40.722433,-73.997008,8231877114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400083,LAFAYETTE ST/E HOUSTON ST,40.72517,-73.995221,42445511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400085,LAFAYETTE ST/E 4 ST,40.728066,-73.992849,8309479119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400086,LAFAYETTE ST/ASTOR PL,40.729751,-73.991427,5784518538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400087,W 146 ST/MALCOLM X BL,40.821178,-73.935956,42432665,42435869,,,42432665,,,,,,,,,,,,,,,,,,,,,,42432665,,,,,,
400088,MALCOLM X BL/W 145 ST,40.820359,-73.93646,9166288594,8008242718,,,9166288594,,,,,,,,,,,,,,,,,,,,,,9166288594,,,,,,
400089,MALCOLM X BL/W 142 ST,40.818247,-73.938003,8212384292,8008242767,,,8212384292,,,,,,,,,,,,,,,,,,,,,,8212384292,,,,,,
400091,W 139 ST/MALCOLM X BL,40.816381,-73.938746,8212384267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400092,5 AV/W 138 ST,40.815202,-73.93598,371337199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400093,5 AV/W 137 ST,40.813791,-73.937003,8236461965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400094,5 AV/W 135 ST,40.812365,-73.938045,8236461970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400095,5 AV/W 132 ST,40.81062,-73.939282,42446190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400096,5 AV/W 130 ST,40.809347,-73.940208,42446184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400097,5 AV/W 128 ST,40.808076,-73.941141,42446182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400098,5 AV/W 125 ST,40.806137,-73.942555,42444453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400099,MT MORRIS PK W/W 124 ST,40.80619,-73.944603,42438704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400100,MT MORRIS PK W/W 121 ST,40.804583,-73.94566,42446169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400101,W 120 ST/5 AV,40.80322,-73.944671,42443817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400102,5 AV/W 118 ST,40.801694,-73.945835,42439486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400103,5 AV/W 116 ST,40.800355,-73.946815,8807694450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400105,5 AV/W 112 ST,40.79786,-73.948595,7096507178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400107,5 AV/EAST 109 ST,40.796533,-73.94957,7781090318,,,,,,,,,,,,5706569345,,,,,,,,,,,,,,,,,,,,
400108,5 AV/E 108 ST,40.795513,-73.950319,6256725787,,,,,,,,,,,,6256725787,,,,6256725787,,,6256725787,,,,,,,,,,,,,
400109,5 AV/E 106 ST,40.794176,-73.951287,7078449360,7784826657,,,,,,7078449360,,,,,7078449360,,,,7078449360,,,7078449360,,,,,,,,,,,,,
400110,5 AV/E 104 ST,40.793073,-73.952097,4969073761,7784826637,,,,,,4969073761,,,,,4969073761,,,,4969073761,,,4969073761,,,,,,,,,,,,,
400111,5 AV/E 102 ST,40.79157,-73.953182,6254630470,42435333,,,,,,6254630470,,,,,6254630470,,,,6254630470,,,6254630470,,,,,,,,,,,,,
400115,5 AV/E 94 ST,40.786559,-73.956865,7093620715,,,,,,,,,,,,7093620715,,,,7093620715,,,7093620715,,,,,,,,,,,,,
400116,5 AV/E 92 ST,40.785462,-73.95766,7093725091,,,,,,,,,,,,7093725091,,,,7093725091,,,7093725091,,,,,,,,,,,,,
400117,5 AV/E 90 ST,40.783993,-73.958712,6949740430,,,,,,,,,,,,6949740430,,,,6949740430,,,6949740430,,,,,,,,,,,,,
400118,5 AV/E 87 ST,40.782181,-73.960036,7924099756,,,,,,,,,,,,7924099756,,,,7924099756,,,7924099756,,,,,,,,,,,,,
400119,5 AV/E 84 ST,40.780435,-73.961321,42435499,,,,,,,,,,,,42435499,,,,42435499,,,42435499,,,,,,,,,,,,,
400122,5 AV/E 77 ST,40.77561,-73.964837,42446016,,,,,,,,,,,,42446016,,,,42446016,,,42446016,,,,,,,,,,,,,
400123,5 AV/E 75 ST,40.774356,-73.965776,42430052,,,,,,,,,,,,42430052,,,,42430052,,,42430052,,,,,,,,,,,,,
400124,5 AV/E 72 ST,40.771799,-73.967626,42445227,,,,,,,,,,,,42445227,,,,42445227,,,42445227,,,,,,,42430394,42445225,,,,,
400125,5 AV/E 69 ST,40.770259,-73.968739,42445994,,,,,,,,,,,,42445994,,,,42445994,,,42445994,,,,,,,,,,,,,
400126,5 AV/W 66 ST,40.768234,-73.970238,42445972,,,,,,,,,,,,42445972,,,,42445972,,,42445972,,,,,,,,,,,,,
400127,5 AV/E 63 ST,40.767349,-73.970841,42431650,,,,,,,,,,,,42431650,,,,42431650,,,42431650,,,,,,,,,,,,,
400128,5 AV/E 61 ST,40.766083,-73.971777,42445961,,,,,,,,,,,,42445961,,,,42445961,,,42445961,,,,,,,,,,,,,
400153,BROADWAY/WAVERLY PL,40.7294,-73.993516,7059780018,,,,,,,,,,,,,,,,,,,,,42451674,,42430233,,,,,,,,,
400154,BROADWAY/W 3 ST,40.727539,-73.9951,8309479052,,,,,,,,,,,,,,,,,,,,,42451674,,42430187,,,,,,,,,
400155,BROADWAY/BLEECKER ST,40.726263,-73.996172,8309479016,,,,,,,,,,,,,,,,,,,,,42451674,,3891963915,,,,,,,,,
400157,BROADWAY/SPRING ST,40.722843,-73.999066,8231877114,,,,,,,,,,,,,,,,,,,,,42451674,,5216470312,,,,,,,,,
400159,BROADWAY/GRAND ST,40.720691,-74.000891,,,,,,,,,,,,,,,,,,,,,,42451674,,42430126,,,,,,,,,
400166,BROADWAY/PARK PL,40.712679,-74.007665,,,,,,,,,,,,,,,,,,,,,,42451674,,8279851449,,,,,,,,,
400168,BROADWAY/CORTLANDT ST,40.709969,-74.009942,,,,,,,,,,,,,,,,,,,,,,42451674,,8262936496,,,,,,,,,
400170,BROADWAY/RECTOR ST,40.707554,-74.01196,,,,,,,,,,,,,,,,,,,,,,42451674,,4206997181,,,,,,,,,
400176,E 9 ST/BROADWAY,40.731425,-73.992408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8309479638,,,,
400224,CENTRAL PK N/MALCOLM X BL,40.798395,-73.952601,,,,,,,,,,,,,7784826666,,,,1203883805,,,1203883805,,,,,,,,,,,,,
400225,CENTRAL PK N/ADAM C POWELL BL,40.799354,-73.954975,,,,,,,,,,,,,7801821425,,,,7784826662,,,7784826662,,,,,,,,,,,,,
400226,ADAM C POWELL BL/W 113 ST,40.801484,-73.953579,,,,,,,,,,,,,2141026544,,,,,,,,,,,,,,,,,,,,
400227,ADAM C POWELL BL/W 137 ST,40.816789,-73.942405,,,,,,,,,,,,,2141026540,,,,,,,,,,,,,,,,,,,,
400228,ADAM C POWELL BL/W 116 ST,40.803426,-73.952158,,,,,,,,,,,,,2141026506,,,,,,,,,,,,,,,,,,,,
400230,ADAM C POWELL BL/W 121 ST,40.806598,-73.949844,,,,,,,,,,,,,2141026510,,,,,,,,,,,,,,,,,,,,
400231,ADAM C POWELL BL/W 123 ST,40.80752,-73.949175,,,,,,,,,,,,,2141026538,,,,,,,,,,,,,,,,,,,,
400233,ADAM C POWELL BL/W 127 ST,40.810475,-73.947009,,,,,,,,,,,,,2141026493,,,,,,,,,,,,,,,,,,,,
400234,ADAM C POWELL BL/W 129 ST,40.811718,-73.946105,,,,,,,,,,,,,2141026508,,,,,,,,,,,,,,,,,,,,
400236,ADAM C POWELL BL/W 133 ST,40.81419,-73.9443,,,,,,,,,,,,,2141026515,,,,,,,,,,,,,,,,,,,,
400237,ADAM C POWELL BL/W 135 ST,40.815549,-73.943309,,,,,,,,,,,,,2141026532,,,,,,,,,,,,,,,,,,,,
400238,ADAM C POWELL BL/W 139 ST,40.818034,-73.94149,,,,,,,,,,,,,6908723691,,,,,,,,,,,,,,,,,,,,
400239,ADAM C POWELL BL/W 141 ST,40.819296,-73.940571,,,,,,,,,,,,,2141026514,,,,,,,,,,,,,,,,,,,,
400240,ADAM C POWELL BL/W 143 ST,40.820515,-73.939681,,,,,,,,,,,,,2141026502,,,,,,,,,,,,,,,,,,,,
400241,ADAM C POWELL BL/W 145 ST,40.821878,-73.938687,,,,,,,,,,,,,2141026518,,,,,,,,,,,,,,,,,,,,
400242,ADAM C POWELL BL/W 147 ST,40.823105,-73.937789,,,,,,,,,,,,,2141026495,,,,,,,,,,,,,,,,,,,,
400248,EDGECOMBE AV/W 155 ST,40.830904,-73.940279,,,,,,,,,,,,,9168585673,,,,,,,,,,,,,,,,,,,,
400249,EDGECOMBE AV/W 158 ST,40.832912,-73.939461,,,,,,,,,,,,,764738938,,,,,,,,,,,,,,,,,,,,
400250,EDGECOMBE AV/W 160 ST,40.834045,-73.938133,,,,,,,,,,,,,42439718,,,,,,,,,,,,,,,,,,,,
400251,EDGECOMBE AV/W 162 ST,40.835242,-73.937496,,,,,,,,,,,,,8725182218,,,,,,,,,,,,,,,,,,,,
400252,EDGECOMBE AV/W 164 ST,40.836657,-73.936852,,,,,,,,,,,,,748726642,,,,,,,,,,,,,,,,,,,,
400258,BROADWAY/W 168 ST,40.841041,-73.939971,,,,,,,,,,,,,42433035,,,,42433035,,,,,,,,,,,,,,,,
400259,W 166 ST/ST NICHOLAS AV,40.839624,-73.940184,,,,,,,,,,,,,42455234,,,,42433030,,,,,,,,,,,,,,,,
400263,EDGECOMBE AV/W 164 ST,40.836219,-73.937231,,,,,,,,,,,,,8725182236,,,,,,,,,,,,,,,,,,,,
400264,EDGECOMBE AV/W 162 ST,40.835011,-73.937775,,,,,,,,,,,,,8725182218,,,,,,,,,,,,,,,,,,,,
400265,EDGECOMBE AV/W 160 ST,40.833653,-73.938817,,,,,,,,,,,,,42439718,,,,,,,,,,,,,,,,,,,,
400266,EDGECOMBE AV/W 158 ST,40.832421,-73.939905,,,,,,,,,,,,,7022869487,,,,,,,,,,,,,,,,,,,,
400267,EDGECOMBE AV/W 155 ST,40.830618,-73.940438,,,,,,,,,,,,,9168585673,,,,,,,,,,,,,,,,,,,,
400268,W 155 ST/EDGECOMBE AV,40.830182,-73.939846,,,,,,,,,,,,,42439802,,,,,,,,,,,,,,,,,,,,
400271,ADAM C POWELL BL/W 154 ST,40.827305,-73.935386,,,,,,,,,,,,,589927921,,,,,,,,,,,,,,,,,,,,
400272,ADAM C POWELL BL/W 151 ST,40.826047,-73.936048,,,,,,,,,,,,,2141002595,,,,,,,,,,,,,,,,,,,,
400273,ADAM C POWELL BL/W 149 ST,40.824628,-73.937101,,,,,,,,,,,,,2141026522,,,,,,,,,,,,,,,,,,,,
400274,ADAM C POWELL BL/W 148 ST,40.823366,-73.938028,,,,,,,,,,,,,2141026548,,,,,,,,,,,,,,,,,,,,
400275,ADAM C POWELL BL/W 145 ST,40.821387,-73.939471,,,,,,,,,,,,,2141026518,,,,,,,,,,,,,,,,,,,,
400276,ADAM C POWELL BL/W 142 ST,40.819535,-73.94082,,,,,,,,,,,,,2141026536,,,,,,,,,,,,,,,,,,,,
400277,ADAM C POWELL BL/W 140 ST,40.818303,-73.941721,,,,,,,,,,,,,6908723691,,,,,,,,,,,,,,,,,,,,
400278,ADAM C POWELL BL/W 138 ST,40.817028,-73.942661,,,,,,,,,,,,,2141026542,,,,,,,,,,,,,,,,,,,,
400279,ADAM C POWELL BL/W 135 ST,40.815277,-73.943909,,,,,,,,,,,,,2141026532,,,,,,,,,,,,,,,,,,,,
400280,ADAM C POWELL BL/W 132 ST,40.813155,-73.945461,,,,,,,,,,,,,8319433975,,,,,,,,,,,,,,,,,,,,
400281,ADAM C POWELL BL/W 130 ST,40.812037,-73.946257,,,,,,,,,,,,,2141026513,,,,,,,,,,,,,,,,,,,,
400282,ADAM C POWELL BL/W 128 ST,40.810701,-73.947255,,,,,,,,,,,,,2141026524,,,,,,,,,,,,,,,,,,,,
400283,ADAM C POWELL BL/W 125 ST,40.80918,-73.948379,,,,,,,,,,,,,5266458363,,,,,,,,,,,,,,,,,,,,
400284,ADAM C POWELL BL/W 122 ST,40.806837,-73.950097,,,,,,,,,,,,,7004376626,,,,,,,,,,,,,,,,,,,,
400285,ADAM C POWELL BL/W 120 ST,40.805602,-73.950997,,,,,,,,,,,,,2141026497,,,,,,,,,,,,,,,,,,,,
400287,ADAM C POWELL BL/W 116 ST,40.803591,-73.952433,,,,,,,,,,,,,2141026506,,,,,,,,,,,,,,,,,,,,
400288,ADAM C POWELL BL/W 114 ST,40.801714,-73.953836,,,,,,,,,,,,,2141026523,,,,,,,,,,,,,,,,,,,,
400289,ADAM C POWELL BL/W 112 ST,40.80046,-73.95475,,,,,,,,,,,,,2141026525,,,,,,,,,,,,,,,,,,,,
400290,CENTRAL PK N/ADAM C POWELL BL,40.799173,-73.95486,,,,,,,,,,,,,7801821425,,,,7784826662,,,7784826662,,,,,,,,,,,,,
400292,CENTRAL PK N/5 AV,40.796597,-73.949515,,,,,,,,,,,,,,,,,5706569345,,,5706569345,,,,,,,,,,,,,
400322,5 AV/W 39 ST,40.75131,-73.982589,,,,,,,,,,,,,,,,,,,,,,42430320,,,,,,,,,,,
400323,5 AV/W 35 ST,40.749477,-73.983921,42445908,,,,,,,,,,,,42445908,,,,42445908,,,,,3857366815,,3857366815,,,,,,,,,
400324,5 AV/W 33 ST,40.747494,-73.985338,42445903,,,,,,,,,,,,42445903,,,,42445903,,,,,42451674,,3833309813,,,,,,,,,
400325,5 AV/W 31 ST,40.746263,-73.986268,42445404,,,,,,,,,,,,42445404,,,,42445404,,,,,42451674,,42430292,,,,,,,,,
400326,5 AV/W 29 ST,40.745072,-73.987134,42436746,,,,,,,,,,,,42436746,,,,42436746,,,,,42451674,,42427797,,,,,,,,,
400327,5 AV/W 26 ST,40.743132,-73.988487,4276517115,,,,,,,,,,,,4276517115,,,,4276517115,,,,,42451674,,42430274,,,,,,,,,
400329,5 AV/W 23 ST,40.74124,-73.990062,42445879,,,,,,,,,,,,42445879,,,,42445879,,,,,42451674,,42430269,,,,,,,,,
400330,5 AV/W 20 ST,40.739407,-73.99126,42456543,,,,,,,,,,,,42456543,,,,42456543,,,,,42451674,,42430263,,,,,,,,,
400331,5 AV/W 17 ST,40.73767,-73.992523,3252590542,,,,,,,,,,,,3252590542,,,,3252590542,,,,,42451674,,42430259,,,,,,,,,
400333,5 AV/W 12 ST,40.734469,-73.994847,3670742481,,,,,,,,,,,,42437949,,,,42437949,,,,,42451674,,8309479750,,,,,,,,,
400334,5 AV/W 10 ST,40.733223,-73.995749,8309479658,,,,,,,,,,,,42437949,,,,42437949,,,,,42451674,,8309479735,,,,,,,,,
400335,E 8 ST/5 AV,40.731996,-73.995926,5784518538,,,,,,,,,,,,6255601608,,,,6255601608,,,,,42451674,,4320194279,,,,,,,,,
