stop_id,stop_name,stop_lat,stop_lon,M1,M10,M100,M101,M102,M103,M104,M106,M11,M116,M12,M15,M191,M2,M20,M21,M22,M3,M31,M35,M4,M42,M5,M50,M55,M57,M66,M7,M72,M8,M9,M96
400233,ADAM C POWELL BL/W 127 ST,40.810475,-73.947009,,,,,,,,,,,,,,POINT (-73.94708799999999 40.81050799999984),,,,,,,,,,,,,,,,,,
400234,ADAM C POWELL BL/W 129 ST,40.811718,-73.946105,,,,,,,,,,,,,,POINT (-73.946185 40.81175199999984),,,,,,,,,,,,,,,,,,
400236,ADAM C POWELL BL/W 133 ST,40.81419,-73.9443,,,,,,,,,,,,,,POINT (-73.944384 40.81422699999982),,,,,,,,,,,,,,,,,,
400237,ADAM C POWELL BL/W 135 ST,40.815549,-73.943309,,,,,,,,,,,,,,POINT (-73.943399 40.81558499999984),,,,,,,,,,,,,,,,,,
400238,ADAM C POWELL BL/W 139 ST,40.818034,-73.94149,,,,,,,,,,,,,,POINT (-73.941569 40.81806899999984),,,,,,,,,,,,,,,,,,
400239,ADAM C POWELL BL/W 141 ST,40.819296,-73.940571,,,,,,,,,,,,,,POINT (-73.940652 40.81933099999984),,,,,,,,,,,,,,,,,,
400240,ADAM C POWELL BL/W 143 ST,40.820515,-73.939681,,,,,,,,,,,,,,POINT (-73.939768 40.82055199999983),,,,,,,,,,,,,,,,,,
400241,ADAM C POWELL BL/W 145 ST,40.821878,-73.938687,,,,,,,,,,,,,,POINT (-73.938779 40.82191799999985),,,,,,,,,,,,,,,,,,
400242,ADAM C POWELL BL/W 147 ST,40.823105,-73.937789,,,,,,,,,,,,,,POINT (-73.937871 40.82313799999985),,,,,,,,,,,,,,,,,,
400248,EDGECOMBE AV/W 155 ST,40.830904,-73.940279,,,,,,,,,,,,,,POINT (-73.940336 40.83090199999983),,,,,,,,,,,,,,,,,,
400249,EDGECOMBE AV/W 158 ST,40.832912,-73.939461,,,,,,,,,,,,,,POINT (-73.93951800000001 40.83294299999983),,,,,,,,,,,,,,,,,,
400250,EDGECOMBE AV/W 160 ST,40.834045,-73.938133,,,,,,,,,,,,,,POINT (-73.938194 40.83407699999985),,,,,,,,,,,,,,,,,,
400251,EDGECOMBE AV/W 162 ST,40.835242,-73.937496,,,,,,,,,,,,,,POINT (-73.937573 40.83526199999985),,,,,,,,,,,,,,,,,,
400252,EDGECOMBE AV/W 164 ST,40.836657,-73.936852,,,,,,,,,,,,,,POINT (-73.93692299999999 40.83667699999984),,,,,,,,,,,,,,,,,,
400258,BROADWAY/W 168 ST,40.841041,-73.939971,,,,,,,,,,,,,,POINT (-73.93988399999999 40.84100299999984),,,,POINT (-73.93988399999999 40.84100299999984),,,,,,,,,,,,,,
400259,W 166 ST/ST NICHOLAS AV,40.839624,-73.940184,,,,,,,,,,,,,,POINT (-73.94015 40.83967199999985),,,,POINT (-73.94015 40.83967199999985),,,,,,,,,,,,,,
400263,EDGECOMBE AV/W 164 ST,40.836219,-73.937231,,,,,,,,,,,,,,POINT (-73.937145 40.83619599999984),,,,,,,,,,,,,,,,,,
400264,EDGECOMBE AV/W 162 ST,40.835011,-73.937775,,,,,,,,,,,,,,POINT (-73.937698 40.83499099999983),,,,,,,,,,,,,,,,,,
400265,EDGECOMBE AV/W 160 ST,40.833653,-73.938817,,,,,,,,,,,,,,POINT (-73.93875200000001 40.83360899999985),,,,,,,,,,,,,,,,,,
400266,EDGECOMBE AV/W 158 ST,40.832421,-73.939905,,,,,,,,,,,,,,POINT (-73.939835 40.83239199999983),,,,,,,,,,,,,,,,,,
400267,EDGECOMBE AV/W 155 ST,40.830618,-73.940438,,,,,,,,,,,,,,POINT (-73.940319 40.83063199999983),,,,,,,,,,,,,,,,,,
400268,W 155 ST/EDGECOMBE AV,40.830182,-73.939846,,,,,,,,,,,,,,POINT (-73.939808 40.83023299999984),,,,,,,,,,,,,,,,,,
400271,ADAM C POWELL BL/W 154 ST,40.827305,-73.935386,,,,,,,,,,,,,,POINT (-73.935305 40.82730999999984),,,,,,,,,,,,,,,,,,
400272,ADAM C POWELL BL/W 151 ST,40.826047,-73.936048,,,,,,,,,,,,,,POINT (-73.935998 40.82603299999984),,,,,,,,,,,,,,,,,,
400273,ADAM C POWELL BL/W 149 ST,40.824628,-73.937101,,,,,,,,,,,,,,POINT (-73.93701 40.82458699999984),,,,,,,,,,,,,,,,,,
400274,ADAM C POWELL BL/W 148 ST,40.823366,-73.938028,,,,,,,,,,,,,,POINT (-73.93793000000001 40.82332499999984),,,,,,,,,,,,,,,,,,
400275,ADAM C POWELL BL/W 145 ST,40.821387,-73.939471,,,,,,,,,,,,,,POINT (-73.939379 40.82134899999984),,,,,,,,,,,,,,,,,,
400276,ADAM C POWELL BL/W 142 ST,40.819535,-73.94082,,,,,,,,,,,,,,POINT (-73.940742 40.81950299999986),,,,,,,,,,,,,,,,,,
400277,ADAM C POWELL BL/W 140 ST,40.818303,-73.941721,,,,,,,,,,,,,,POINT (-73.941627 40.81826099999984),,,,,,,,,,,,,,,,,,
400278,ADAM C POWELL BL/W 138 ST,40.817028,-73.942661,,,,,,,,,,,,,,POINT (-73.94255600000001 40.81698199999983),,,,,,,,,,,,,,,,,,
400279,ADAM C POWELL BL/W 135 ST,40.815277,-73.943909,,,,,,,,,,,,,,POINT (-73.943838 40.81524799999985),,,,,,,,,,,,,,,,,,
400280,ADAM C POWELL BL/W 132 ST,40.813155,-73.945461,,,,,,,,,,,,,,POINT (-73.94540400000001 40.81312999999984),,,,,,,,,,,,,,,,,,
400281,ADAM C POWELL BL/W 130 ST,40.812037,-73.946257,,,,,,,,,,,,,,POINT (-73.94621100000001 40.81201799999985),,,,,,,,,,,,,,,,,,
400282,ADAM C POWELL BL/W 128 ST,40.810701,-73.947255,,,,,,,,,,,,,,POINT (-73.947192 40.81067399999985),,,,,,,,,,,,,,,,,,
400283,ADAM C POWELL BL/W 125 ST,40.80918,-73.948379,,,,,,,,,,,,,,POINT (-73.94830300000001 40.80914899999983),,,,,,,,,,,,,,,,,,
400284,ADAM C POWELL BL/W 122 ST,40.806837,-73.950097,,,,,,,,,,,,,,POINT (-73.949997 40.80679699999982),,,,,,,,,,,,,,,,,,
400285,ADAM C POWELL BL/W 120 ST,40.805602,-73.950997,,,,,,,,,,,,,,POINT (-73.950901 40.80555899999983),,,,,,,,,,,,,,,,,,
400287,ADAM C POWELL BL/W 116 ST,40.803591,-73.952433,,,,,,,,,,,,,,POINT (-73.95235600000001 40.80356099999985),,,,,,,,,,,,,,,,,,
400288,ADAM C POWELL BL/W 114 ST,40.801714,-73.953836,,,,,,,,,,,,,,POINT (-73.95374699999999 40.80167799999984),,,,,,,,,,,,,,,,,,
400289,ADAM C POWELL BL/W 112 ST,40.80046,-73.95475,,,,,,,,,,,,,,POINT (-73.954661 40.80042099999983),,,,,,,,,,,,,,,,,,
400290,CENTRAL PK N/ADAM C POWELL BL,40.799173,-73.95486,,,,,,,,,,,,,,POINT (-73.95481700000001 40.79923099999986),,,,POINT (-73.95481700000001 40.79923099999986),,,POINT (-73.95481700000001 40.79923099999986),,,,,,,,,,,
400292,CENTRAL PK N/5 AV,40.796597,-73.949515,,,,,,,,,,,,,,,,,,POINT (-73.949457 40.79657499999984),,,POINT (-73.949457 40.79657499999984),,,,,,,,,,,
400322,5 AV/W 39 ST,40.75131,-73.982589,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.98249300000001 40.75126999999981),,,,,,,,,
400323,5 AV/W 35 ST,40.749477,-73.983921,POINT (-73.98382700000001 40.74943699999985),,,,,,,,,,,,,POINT (-73.98382700000001 40.74943699999985),,,,POINT (-73.98382700000001 40.74943699999985),,,,,POINT (-73.98382700000001 40.74943699999985),,POINT (-73.98382700000001 40.74943699999985),,,,,,,
400324,5 AV/W 33 ST,40.747494,-73.985338,POINT (-73.985265 40.74746299999985),,,,,,,,,,,,,POINT (-73.985265 40.74746299999985),,,,POINT (-73.985265 40.74746299999985),,,,,POINT (-73.985265 40.74746299999985),,POINT (-73.985265 40.74746299999985),,,,,,,
400325,5 AV/W 31 ST,40.746263,-73.986268,POINT (-73.98616899999999 40.74622199999983),,,,,,,,,,,,,POINT (-73.98616899999999 40.74622199999983),,,,POINT (-73.98616899999999 40.74622199999983),,,,,,,POINT (-73.98616899999999 40.74622199999983),,,,,,,
400326,5 AV/W 29 ST,40.745072,-73.987134,POINT (-73.987038 40.74503099999983),,,,,,,,,,,,,POINT (-73.987038 40.74503099999983),,,,POINT (-73.987038 40.74503099999983),,,,,,,POINT (-73.987038 40.74503099999983),,,,,,,
400327,5 AV/W 26 ST,40.743132,-73.988487,POINT (-73.988426 40.74310699999984),,,,,,,,,,,,,POINT (-73.988426 40.74310699999984),,,,POINT (-73.988426 40.74310699999984),,,,,,,POINT (-73.988426 40.74310699999984),,,,,,,
400329,5 AV/W 23 ST,40.74124,-73.990062,POINT (-73.989857 40.74114999999983),,,,,,,,,,,,,POINT (-73.989857 40.74114999999983),,,,POINT (-73.989857 40.74114999999983),,,,,,,POINT (-73.989857 40.74114999999983),,,,,,,
400330,5 AV/W 20 ST,40.739407,-73.99126,POINT (-73.991164 40.73936499999984),,,,,,,,,,,,,POINT (-73.991164 40.73936499999984),,,,POINT (-73.991164 40.73936499999984),,,,,,,POINT (-73.991164 40.73936499999984),,,,,,,
400331,5 AV/W 17 ST,40.73767,-73.992523,POINT (-73.992423 40.73762599999985),,,,,,,,,,,,,POINT (-73.992423 40.73762599999985),,,,POINT (-73.992423 40.73762599999985),,,,,,,POINT (-73.992423 40.73762599999985),,,,,,,
400333,5 AV/W 12 ST,40.734469,-73.994847,POINT (-73.994755 40.73443099999984),,,,,,,,,,,,,POINT (-73.994755 40.73443099999984),,,,POINT (-73.994755 40.73443099999984),,,,,,,POINT (-73.994755 40.73443099999984),,,,,,,
400334,5 AV/W 10 ST,40.733223,-73.995749,POINT (-73.99566300000001 40.73318699999984),,,,,,,,,,,,,POINT (-73.99566300000001 40.73318699999984),,,,POINT (-73.99566300000001 40.73318699999984),,,,,,,POINT (-73.99566300000001 40.73318699999984),,,,,,,
400335,E 8 ST/5 AV,40.731996,-73.995926,POINT (-73.99588799999999 40.73204999999984),,,,,,,,,,,,,POINT (-73.99588799999999 40.73204999999984),,,,POINT (-73.99588799999999 40.73204999999984),,,,,,,POINT (-73.99588799999999 40.73204999999984),,,,,,,
400336,E 8 ST/UNIVERSITY PL,40.731417,-73.994502,POINT (-73.994472 40.73145799999985),,,,,,,,,,,,,POINT (-73.994472 40.73145799999985),,,,,,,,,,,POINT (-73.994472 40.73145799999985),,,,,POINT (-73.994472 40.73145799999985),,
400337,E 8 ST/MERCER ST,40.730576,-73.99259,POINT (-73.99239900000001 40.73058199999983),,,,,,,,,,,,,POINT (-73.99239900000001 40.73058199999983),,,,POINT (-73.99239900000001 40.73058199999983),,,,,,,POINT (-73.99239900000001 40.73058199999983),,,,,POINT (-73.99239900000001 40.73058199999983),,
